"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","11585.5936888858","14114.4344798681","17480.9774812572","20392.1617784751","22029.0246456772","24157.4717979667","25141.3994724502","26740.2400165529","29069.5782543511","29426.4478860615","29685.1377822644","32091.0473961381","34149.0604949588","34646.0470289521","36905.7733365615","36999.9569392413","36582.0279602493","37292.817679558","40397.3912338978","41708.3216699324","43042.7452147178","46243.0600833778","48479.7063988477","44089.8158735165","42089.2145772882","44723.1749142577","44235.3629405743","47330.4996849707","48138.490595128","50830.4660769223","50929.3854002765","52537.9409838555","54153.3700508549","","",
"Africa Eastern and Southern","AFE","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per capita (current LCU)","NY.GDP.PCAP.CN","2689.79551664466","2693.74049965723","2630.61039142412","3541.78929499539","3694.28879403233","4549.87463236911","6191.74340825015","7240.42953725869","5809.87399342525","5819.83921638896","7043.34471069178","7180.53790483162","6089.27525917161","6441.50922750363","7814.41311339117","8392.98772559012","8885.04783980151","10090.1250704752","11130.9339512888","12049.755641985","12024.1079998503","13073.5042586446","","","","","","","","","","","","","","","","","","","","","8060.02136475503","9347.56846570382","10102.1184316267","12012.1592916642","13167.1638067756","17911.7840595218","18578.8052072627","21542.3943026763","24883.2759070074","28234.4081767188","33015.0425343834","35290.4924022591","35254.4543367909","35531.1966433738","34562.2449582325","35415.9244911941","35717.5610854881","38631.1363930956","39747.1093772016",
"Africa Western and Central","AFW","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","2.12711463989503E-05","1.92187690852636E-05","1.85479603886017E-05","1.86520793343123E-05","1.90791603033712E-05","2.26864773882495E-05","2.05032710190273E-05","2.26273609930802E-05","2.37057072151276E-05","2.6645363479905E-05","2.83553115211736E-05","5.71479841334337E-05","0.000300220559404129","0.00224855839873273","0.0502156696734604","1.07673569517264","58.0174382923301","117.794204943499","166.397562436522","1082.19194572137","5590.9382813321","11631.8702391095","37979.8575500625","73335.083834502","104891.61722768","165813.402393092","208922.176059887","239476.143917158","306206.880959839","247724.64321858","329746.957878121","433553.084024135","486896.062960201","507192.192990056","531659.850300127","500290.515672215","573791.306296039","679560.421395759","831805.235047552","1025024.08539822","1027084.1216289",
"Albania","ALB","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","5610.77351509002","5691.06430682275","5735.33964640025","5676.07139340919","5486.77898478496","5490.04945422263","5550.9877970711","5398.34706455593","5222.19457117253","5583.96477261216","4937.84348412404","4846.85272086666","15070.4441800668","37485.4359094806","55488.6492310609","69579.1559277542","105541.51424559","105239.65300429","123012.405187101","142690.793617299","162251.414442153","184123.250548253","200095.706012107","222968.295995284","243697.01536767","267031.868309576","291636.188170144","325091.74189912","366664.698773188","390752.715866234","425553.059864656","447689.053574717","459526.458582796","466324.731649288","482954.230792661","497901.727460276","511970.546236033","539644.407415876","571010.572234766","592717.516101761","570009.659084702",
"Andorra","AND","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","1362.51699279094","1459.8021195886","1629.51831876511","1870.82742986682","2191.42469930544","2473.33984693047","2875.51758857215","3538.71646983429","4206.09589853011","4767.57214644652","5334.01824584754","5755.85897914555","6345.49661255273","6917.72898614579","7467.66964829298","7946.67772968852","8720.97807394669","9361.68513588807","10014.6788808915","10790.0976130557","11565.1849269832","12199.147637031","12644.2953704018","12632.8271066356","13070.8532771715","13832.5555903539","14477.1001973183","16152.9525171803","16965.9198628001","18079.6032189908","23720.5994800428","25669.5473984319","26636.4492919141","28593.7414594151","30577.9672131148","32215.6432655856","34016.0503734798","34926.2233617958","33260.9110422132","31314.3344265401","30813.3421744382","31131.72851889","30109.6728013879","29770.2117122694","31089.4676378877","32240.2010436834","33855.4887120771","34491.7334441602","35389.4400581758","36533.585668732","32457.1280657478",
"Arab World","ARB","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","106353.331691881","119059.263927164","132022.024975964","110163.040486033","127874.155354644","158545.257658849","165149.25196197","146934.794851719","127909.238988422","118609.395890167","109105.415524479","86150.5849752417","87099.2731782833","81845.3807708098","88207.7516289269","101794.592868116","97693.5811670596","96990.9766319904","93965.630299084","94888.0676540952","99931.7212255067","106367.518523142","108341.029160791","98788.7874864834","104559.328314052","122262.54256849","114878.575914049","115931.81381115","123025.454945148","133433.630480632","144569.650531295","153905.005346996","153545.249792263","163422.359011641","117608.866355587","124473.011572634","143942.433801308","150486.16226616","155760.418564743","160678.506241791","141991.338346021","140076.007039865","149267.995645926","160999.91917737","156821.049584519","133255.029129753",
"Argentina","ARG","GDP per capita (current LCU)","NY.GDP.PCAP.CN","6.42077544916626E-09","8.01292338524696E-09","1.00758996223806E-08","1.17954250321422E-08","1.64710897564458E-08","2.17449347020196E-08","2.6728867729399E-08","3.50639310825344E-08","3.99378144494875E-08","4.65170483543547E-08","5.02584428784848E-08","6.86187095942862E-08","1.12709229944122E-07","1.88732055774007E-07","2.56037699556266E-07","7.50114770618704E-07","3.89644926154633E-06","1.06485417391782E-05","2.61856527599659E-05","7.03336893195985E-05","0.000137665854033175","0.000263750590616272","0.0007589109744726","0.00374170653599821","0.0265970817528019","0.175567584683808","0.325225958765253","0.748203966398468","3.50696939989054","100.909111342906","2112.96309276828","5468.66574148761","6759.39757203546","6962.15060931667","7483.14033425721","7408.70866363112","7721.35410460355","8213.12512693705","8289.5075682025","7774.73620280001","7708.09911454041","7208.37311355372","8295.26383638889","9869.5343026044","12603.0232981061","14977.9989002627","18221.0875824602","22602.8960140739","28683.670905597","30826.1706321299","40739.9840807887","52810.1167359686","63208.8926890011","79338.285078988","107315.211694536","138053.315160733","188760.95646864","242031.427829262","331385.002967333","485155.344505646","605628.038580011",
