"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6740812058746","52.123568000162","70.8574852766786","69.8545261374849","74.2515137269419","72.7822486239837","74.0122900763188","73.0352666301403","73.6651616060509","67.9375707532475","71.6346350933399","80.1309889912363","86.9715376987369","99.4768957966491","107.811571856791","99.3362428164744","100","99.1278319121337","94.3519011214834","96.0207649293353","100.113344320264","103.120150490634","102.498731610081","100.194187788155","100.479293853192","103.091191987852","100.944739235507",
"American Samoa","ASM","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","128.016110896917","132.343226122276","145.109726385836","149.891348295124","154.172255368972","162.381909138867","160.806430925818","141.432063738989","131.947191264992","132.860863930759","136.208363476637","131.432373685919","133.105945326114","131.073550552521","139.036804436662","117.050673318175","113.438563584789","115.404202225136","115.395937562664","119.525963938322","117.004952886373","114.677342864145","116.987223006101","117.764016475694","114.077455110055","110.936069559791","108.340196993553","106.155933428659","98.2181920259172","95.3746608798846","99.8364398697209","100","96.6673171743074","100.746369364341","99.9242578801608","99.7974644188275","108.854865100061","110.639496789866","111.064042375966","108.017245846231","110.763635859812","109.547675056161",
"Australia","AUS","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","92.3153512173926","100.254843455606","100.647942892571","98.6001947137078","101.718928585376","85.6074635100653","74.878561329077","74.7247298760731","82.6692085997623","88.7073837538224","86.5245933859846","85.1378191484438","76.9229392063279","71.6069248624742","75.1874086662256","73.4974044430053","80.3755742323385","79.9667895421845","73.2578529483466","73.5115882802381","70.4472288992946","67.5678247269547","70.8553704574419","79.366521959698","85.4216367372922","87.9656842448973","87.239863802388","92.3354284355076","90.3746887086954","87.5925132409976","100","106.964391878398","109.027761186603","103.454741983793","98.3255749397606","89.8555301385358","90.9305295542506","93.6886573609095","89.9463121616465","86.0082802302439","85.3603337253923",
"Austria","AUT","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","97.7493717449336","97.8275125217268","94.6298326692025","95.8979660476144","95.9100307420514","96.759930046747","96.4202116884805","100.630181067562","103.37609121945","103.065317712853","101.816831579949","103.629286187175","101.588665511816","103.407570613768","106.120473036852","106.794898342699","110.862634603536","108.310861276835","103.651870049847","103.269980758768","101.476846416698","98.3198487657108","98.4645713390303","99.2732674438224","102.775672480526","103.91501574153","102.868641468497","102.002972136611","102.574529924587","102.743649737546","103.593706798804","100","100.255763974217","98.392579060467","100.497576212648","101.82675064624","98.3108825487471","99.7786838574521","100.842184470719","102.769945826411","101.665045404239","103.542560037633",
"Azerbaijan","AZE","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
