Color Partner Product,Partner Product Break down,ProductGroupDescription,Reporter,Year,Color Reporter Region,Partner,PartnerISO3,PartnerRegion,ProductCode,Region Product Break down,ReporterISO3,ReporterRegion,AHS Weighted Average (%),Country Growth (%),Export Product Share (%),Export Trade Value (US$ Thousand),Import Product Share (%),Import Trade Value (US$ Thousand),Number of Records,Revealed comparative advantage,Trade Balance,Trade Flow Selection,Trade Flow Share,World Growth (%)
Animal,Australia,Animal,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,01-05_Animal,Animal,FRA,Europe & Central Asia,20.48301701,1.034506173,0.48,"$20,432.19 ",2.0459,"$34,463.72 ",1,0.58,-14031.522,34463.715,2.0459,10.61950512
Animal,Malaysia,Animal,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,01-05_Animal,Animal,FRA,Europe & Central Asia,5.493805459,30.27382246,1.4,"$25,297.00 ",0.1702,"$4,334.31 ",1,1.44,20962.692,4334.309,0.1702,12.67515536
Animal,New Caledonia,Animal,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,01-05_Animal,Animal,FRA,Europe & Central Asia,0,19.57326174,2.41,"$22,242.91 ",1.1704,"$3,140.05 ",1,1.34,19102.855,3140.054,1.1704,47.07259487
Animal,New Zealand,Animal,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,01-05_Animal,Animal,FRA,Europe & Central Asia,46.2163987,-37.23549535,1.02,"$3,215.81 ",54.4559,"$260,392.51 ",1,0.67,-257176.695,260392.506,54.4559,4.405712034
Chemicals,American Samoa,Chemicals,France,2010,East Asia & Pacific,American Samoa,ASM,East Asia & Pacific,28-38_Chemicals,Chemicals,FRA,Europe & Central Asia,0,,2.21,$18.56 ,0.1657,$13.26 ,1,,5.303,13.255,0.1657,
Chemicals,Australia,Chemicals,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,28-38_Chemicals,Chemicals,FRA,Europe & Central Asia,0.267345578,1.574890691,19.77,"$841,271.09 ",17.8499,"$300,683.02 ",1,3.66,540588.077,300683.016,17.8499,9.51448691
Chemicals,Malaysia,Chemicals,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,28-38_Chemicals,Chemicals,FRA,Europe & Central Asia,4.952023418,2.432258556,6.33,"$114,212.96 ",3.26,"$83,005.31 ",1,1.82,31207.65,83005.312,3.26,14.12880666
Chemicals,New Caledonia,Chemicals,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,28-38_Chemicals,Chemicals,FRA,Europe & Central Asia,0,-0.044374833,16.43,"$151,539.43 ",0.6497,"$1,743.00 ",1,2.33,149796.427,1743.001,0.6497,4.163590981
Chemicals,New Zealand,Chemicals,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,28-38_Chemicals,Chemicals,FRA,Europe & Central Asia,1.312446239,7.287795082,19.21,"$60,644.40 ",4.1763,"$19,969.63 ",1,2.33,40674.774,19969.629,4.1763,9.605944621
Food Products,American Samoa,Food Products,France,2010,East Asia & Pacific,American Samoa,ASM,East Asia & Pacific,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,5.180192947,,,,2.1537,$172.31 ,1,,,172.312,2.1537,
Food Products,Australia,Food Products,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,10.20713319,12.80552275,4.37,"$186,075.59 ",0.922,"$15,530.61 ",1,2.49,170544.981,15530.607,0.922,7.133403201
Food Products,Malaysia,Food Products,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,9.239240766,12.29430933,4.59,"$82,762.71 ",2.0788,"$52,928.93 ",1,2.16,29833.782,52928.928,2.0788,12.01185602
Food Products,New Caledonia,Food Products,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,2.584381759,1.419332644,11.73,"$108,216.13 ",0.0484,$129.90 ,1,2.12,108086.232,129.896,0.0484,4.005372269
Food Products,New Zealand,Food Products,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,7.051947825,10.27498554,6.8,"$21,470.11 ",1.8547,"$8,868.76 ",1,1.32,12601.343,8868.764,1.8547,11.85585015
Footwear,Australia,Footwear,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,64-67_Footwear,Footwear,FRA,Europe & Central Asia,4.375084829,4.238962034,0.14,"$5,851.03 ",0.0285,$479.82 ,1,0.2,5371.202,479.823,0.0285,9.350890676
Footwear,Malaysia,Footwear,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,64-67_Footwear,Footwear,FRA,Europe & Central Asia,8.7811629,-14.84606864,0.01,$259.81 ,0.1405,"$3,577.46 ",1,0.21,-3317.651,3577.461,0.1405,12.20329552
Footwear,New Caledonia,Footwear,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,64-67_Footwear,Footwear,FRA,Europe & Central Asia,0,-9.523123475,0.59,"$5,399.01 ",0.0044,$11.93 ,1,0.53,5387.079,11.929,0.0044,2.979830744
